airline,flight_code,departure_time,departure_city,flight_duration,arrival_time,arrival_city,flight_cost,number_of_stops,departure_date,departure_day,booking_date,booking_day
Spicejet,SG-678 | SG-8722,09:55,Mumbai,24 hrs 45 mins ,10:40+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,905",1 stop via Patna,2020-10-05,0,2020-10-04,6
Air India,AI-671 | AI-554,09:55,Mumbai,14 hrs 25 mins ,00:20+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,006",1 stop via Chennai,2020-10-05,0,2020-10-04,6
Vistara,UK-863 | UK-812,08:15,Mumbai,08 hrs 40 mins ,16:55,New Delhi,"₹ 4,006",1 stop via Bengaluru,2020-10-05,0,2020-10-04,6
"Air India, IndiGo",AI-707 | 6E-7321 | 6E-5004,10:10,Mumbai,09 hrs 35 mins ,19:45,New Delhi,"₹ 5,161","2 stop via Indore,Lucknow",2020-10-05,0,2020-10-04,6
"Air India, IndiGo",AI-707 | 6E-7296 | 6E-2454,10:10,Mumbai,11 hrs 15 mins ,21:25,New Delhi,"₹ 4,006","2 stop via Indore,Raipur",2020-10-05,0,2020-10-04,6
IndiGo,6E-168 | 6E-7321 | 6E-5004,06:25,Mumbai,13 hrs 20 mins ,19:45,New Delhi,"₹ 4,006","2 stop via Indore,Lucknow",2020-10-05,0,2020-10-04,6
IndiGo,6E-168 | 6E-7296 | 6E-2454,06:25,Mumbai,15 hrs ,21:25,New Delhi,"₹ 4,905","2 stop via Indore,Raipur",2020-10-05,0,2020-10-04,6
Spicejet,SG-452 | SG-8379,13:00,Mumbai,24 hrs ,13:00+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,006",1 stop via Gorakhpur,2020-10-05,0,2020-10-04,6
Spicejet,SG-438 | SG-8379,10:55,Mumbai,26 hrs 05 mins ,13:00+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,006",1 stop via Gorakhpur,2020-10-05,0,2020-10-04,6
Spicejet,SG-678 | SG-943,09:55,Mumbai,13 hrs 55 mins ,23:50,New Delhi,"₹ 4,531",1 stop via Patna,2020-10-05,0,2020-10-04,6
IndiGo,6E-5325 | 6E-7321 | 6E-7296 | 6E-2454,09:50,Mumbai,11 hrs 35 mins ,21:25,New Delhi,"₹ 6,211","3 stop via Nagpur,Indore,Raipur",2020-10-05,0,2020-10-04,6
"Go Air, Air India",G8-322 | G8-715 | AI-571 | AI-451,21:35,Mumbai,26 hrs 50 mins ,00:25+2 DAYArrival : New Delhi07 Oct 2020,New Delhi,"₹ 6,770","3 stop via New Delhi,Ahmedabad,Hyderabad",2020-10-05,0,2020-10-04,6
"Go Air, Air India",G8-322 | G8-715 | AI-571 | AI-559,21:35,Mumbai,35 hrs 20 mins ,08:55+2 DAYArrival : New Delhi07 Oct 2020,New Delhi,"₹ 4,006","3 stop via New Delhi,Ahmedabad,Hyderabad",2020-10-05,0,2020-10-04,6
Vistara,UK-825 | UK-838,08:55,Mumbai,06 hrs 05 mins ,15:00,New Delhi,"₹ 4,006",1 stop via Chennai,2020-10-05,0,2020-10-04,6
Vistara,UK-825 | UK-834,08:55,Mumbai,11 hrs 20 mins ,20:15,New Delhi,"₹ 5,161",1 stop via Chennai,2020-10-05,0,2020-10-04,6
"IndiGo, Spicejet",6E-639 | SG-501 | SG-8129,19:35,Mumbai,25 hrs 15 mins ,20:50+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,006","2 stop via Ahmedabad,Chennai",2020-10-05,0,2020-10-04,6
"IndiGo, Spicejet",6E-639 | SG-501 | SG-8104,19:35,Mumbai,38 hrs 20 mins ,09:55+2 DAYArrival : New Delhi07 Oct 2020,New Delhi,"₹ 4,006","2 stop via Ahmedabad,Chennai",2020-10-05,0,2020-10-04,6
Spicejet,SG-678 | SG-8481,09:55,Mumbai,10 hrs 35 mins ,20:30,New Delhi,"₹ 5,161",1 stop via Patna,2020-10-05,0,2020-10-04,6
AirAsia,I5-317 | I5-979,10:45,Mumbai,11 hrs ,21:45,New Delhi,"₹ 4,006",1 stop via Kolkata,2020-10-05,0,2020-10-04,6
"Go Air, IndiGo",G8-322 | G8-715 | 6E-525 | 6E-6756,21:35,Mumbai,17 hrs 15 mins ,14:50+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,006","3 stop via New Delhi,Ahmedabad,Dehradun",2020-10-05,0,2020-10-04,6
"Go Air, IndiGo",G8-322 | G8-715 | 6E-525 | 6E-679,21:35,Mumbai,20 hrs 25 mins ,18:00+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 5,161","3 stop via New Delhi,Ahmedabad,Dehradun",2020-10-05,0,2020-10-04,6
"IndiGo, Spicejet",6E-639 | SG-8719 | SG-8481,19:35,Mumbai,24 hrs 55 mins ,20:30+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,007","2 stop via Ahmedabad,Patna",2020-10-05,0,2020-10-04,6
IndiGo,6E-168 | 6E-7295 | 6E-2296,06:25,Mumbai,13 hrs 50 mins ,20:15,New Delhi,"₹ 4,007","2 stop via Indore,Ahmedabad",2020-10-05,0,2020-10-04,6
IndiGo,6E-168 | 6E-7295 | 6E-267,06:25,Mumbai,16 hrs 30 mins ,22:55,New Delhi,"₹ 4,400","2 stop via Indore,Ahmedabad",2020-10-05,0,2020-10-04,6
"Air India, IndiGo",AI-538 | AI-851 | 6E-2045,21:00,Mumbai,16 hrs 30 mins ,13:30+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,007","3 stop via New Delhi,Pune,Ahmedabad",2020-10-05,0,2020-10-04,6
"Air India, IndiGo",AI-687 | AI-851 | 6E-2045,16:45,Mumbai,20 hrs 45 mins ,13:30+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,007","3 stop via New Delhi,Pune,Ahmedabad",2020-10-05,0,2020-10-04,6
