airline,flight_code,departure_time,departure_city,flight_duration,arrival_time,arrival_city,flight_cost,number_of_stops,departure_date,departure_day,booking_date,booking_day
Vistara,UK-785 | UK-711,06:55,New Delhi,14 hrs 40 mins ,21:35,Kolkata,"₹ 4,532",1 stop via Bhubaneswar,2020-11-24,1,2020-11-09,0
Air India,AI-469 | AI-9746,06:30,New Delhi,10 hrs 50 mins ,17:20,Kolkata,"₹ 4,008","2 stop via Raipur,Jharsuguda",2020-11-24,1,2020-11-09,0
IndiGo,6E-2037 | 6E-7982,10:00,New Delhi,05 hrs 40 mins ,15:40,Kolkata,"₹ 4,008",1 stop via Allahabad,2020-11-24,1,2020-11-09,0
Air India,AI-544 | AI-525,16:15,New Delhi,15 hrs 40 mins ,07:55+1 DAYArrival : Kolkata25 Nov 2020,Kolkata,"₹ 4,532",1 stop via Hyderabad,2020-11-24,1,2020-11-09,0
Air India,AI-506 | AI-577,12:20,New Delhi,09 hrs 30 mins ,21:50,Kolkata,"₹ 4,270",1 stop via Bengaluru,2020-11-24,1,2020-11-09,0
Air India,AI-504 | AI-776,21:40,New Delhi,13 hrs ,10:40+1 DAYArrival : Kolkata25 Nov 2020,Kolkata,"₹ 4,270",1 stop via Bengaluru,2020-11-24,1,2020-11-09,0
Air India,AI-803 | AI-577,05:35,New Delhi,16 hrs 15 mins ,21:50,Kolkata,"₹ 4,585",1 stop via Bengaluru,2020-11-24,1,2020-11-09,0
Spicejet,SG-285 | SG-3724,17:30,New Delhi,23 hrs ,16:30+1 DAYArrival : Kolkata25 Nov 2020,Kolkata,"₹ 5,109",1 stop via Guwahati,2020-11-24,1,2020-11-09,0
Vistara,UK-977 | UK-771,19:30,New Delhi,14 hrs 40 mins ,10:10+1 DAYArrival : Kolkata25 Nov 2020,Kolkata,"₹ 5,488",1 stop via Mumbai,2020-11-24,1,2020-11-09,0
Vistara,UK-955 | UK-771,18:10,New Delhi,16 hrs ,10:10+1 DAYArrival : Kolkata25 Nov 2020,Kolkata,"₹ 4,357",1 stop via Mumbai,2020-11-24,1,2020-11-09,0
Vistara,UK-941 | UK-771,16:30,New Delhi,17 hrs 40 mins ,10:10+1 DAYArrival : Kolkata25 Nov 2020,Kolkata,"₹ 4,357",1 stop via Mumbai,2020-11-24,1,2020-11-09,0
